	x		sin(x)	sin'(x)	delta_y	dub_y
      5.07	     -0.94	     -0.41	      0.98	     -2.38	
      5.08	     -0.93	     -0.41	      0.97	     -2.36	
      5.09	     -0.93	     -0.41	      0.97	     -2.35	
      5.10	     -0.93	     -0.42	      0.97	     -2.33	
      5.11	     -0.92	     -0.42	      0.97	     -2.32	
      5.12	     -0.92	     -0.42	      0.96	     -2.30	
      5.13	     -0.91	     -0.42	      0.96	     -2.29	
      5.14	     -0.91	     -0.42	      0.96	     -2.27	
      5.15	     -0.91	     -0.42	      0.96	     -2.26	
      5.16	     -0.90	     -0.42	      0.95	     -2.25	
      5.17	     -0.90	     -0.43	      0.95	     -2.23	
      5.18	     -0.89	     -0.43	      0.95	     -2.22	
      5.19	     -0.89	     -0.43	      0.94	     -2.20	
      5.20	     -0.88	     -0.43	      0.94	     -2.19	
      5.21	     -0.88	     -0.43	      0.94	     -2.18	
      5.22	     -0.87	     -0.43	      0.93	     -2.16	
      5.23	     -0.87	     -0.43	      0.93	     -2.15	
      5.24	     -0.86	     -0.43	      0.93	     -2.14	
      5.25	     -0.86	     -0.44	      0.92	     -2.12	
      5.26	     -0.85	     -0.44	      0.92	     -2.11	
      5.27	     -0.85	     -0.44	      0.92	     -2.10	
      5.28	     -0.84	     -0.44	      0.92	     -2.09	
      5.29	     -0.84	     -0.44	      0.91	     -2.07	
      5.30	     -0.83	     -0.44	      0.91	     -2.06	
      5.31	     -0.83	     -0.44	      0.91	     -2.05	
      5.32	     -0.82	     -0.44	      0.90	     -2.03	
      5.33	     -0.82	     -0.44	      0.90	     -2.02	
      5.34	     -0.81	     -0.45	      0.90	     -2.01	
      5.35	     -0.80	     -0.45	      0.89	     -2.00	
      5.36	     -0.80	     -0.45	      0.89	     -1.98	
      5.37	     -0.79	     -0.45	      0.89	     -1.97	
      5.38	     -0.79	     -0.45	      0.88	     -1.96	
      5.39	     -0.78	     -0.45	      0.88	     -1.95	
      5.40	     -0.77	     -0.45	      0.88	     -1.93	
      5.41	     -0.77	     -0.45	      0.87	     -1.92	
      5.42	     -0.76	     -0.45	      0.87	     -1.91	
      5.43	     -0.75	     -0.46	      0.86	     -1.90	
      5.44	     -0.75	     -0.46	      0.86	     -1.89	
      5.45	     -0.74	     -0.46	      0.86	     -1.87	
      5.46	     -0.73	     -0.46	      0.85	     -1.86	
      5.47	     -0.73	     -0.46	      0.85	     -1.85	
      5.48	     -0.72	     -0.46	      0.85	     -1.84	
      5.49	     -0.71	     -0.46	      0.84	     -1.83	
      5.50	     -0.71	     -0.46	      0.84	     -1.81	
      5.51	     -0.70	     -0.46	      0.84	     -1.80	
      5.52	     -0.69	     -0.46	      0.83	     -1.79	
      5.53	     -0.68	     -0.47	      0.83	     -1.78	
      5.54	     -0.68	     -0.47	      0.82	     -1.77	
      5.55	     -0.67	     -0.47	      0.82	     -1.76	
      5.56	     -0.66	     -0.47	      0.82	     -1.75	
      5.57	     -0.65	     -0.47	      0.81	     -1.73	
      5.58	     -0.65	     -0.47	      0.81	     -1.72	
      5.59	     -0.64	     -0.47	      0.81	     -1.71	
      5.60	     -0.63	     -0.47	      0.80	     -1.70	
      5.61	     -0.62	     -0.47	      0.80	     -1.69	
      5.62	     -0.62	     -0.47	      0.79	     -1.68	
      5.63	     -0.61	     -0.47	      0.79	     -1.67	
      5.64	     -0.60	     -0.47	      0.79	     -1.66	
      5.65	     -0.59	     -0.48	      0.78	     -1.64	
      5.66	     -0.58	     -0.48	      0.78	     -1.63	
      5.67	     -0.58	     -0.48	      0.77	     -1.62	
      5.68	     -0.57	     -0.48	      0.77	     -1.61	
      5.69	     -0.56	     -0.48	      0.77	     -1.60	
      5.70	     -0.55	     -0.48	      0.76	     -1.59	
      5.71	     -0.54	     -0.48	      0.76	     -1.58	
      5.72	     -0.53	     -0.48	      0.75	     -1.57	
      5.73	     -0.53	     -0.48	      0.75	     -1.56	
      5.74	     -0.52	     -0.48	      0.75	     -1.55	
      5.75	     -0.51	     -0.48	      0.74	     -1.54	
      5.76	     -0.50	     -0.48	      0.74	     -1.53	
      5.77	     -0.49	     -0.48	      0.73	     -1.51	
      5.78	     -0.48	     -0.48	      0.73	     -1.50	
      5.79	     -0.47	     -0.49	      0.72	     -1.49	
      5.80	     -0.46	     -0.49	      0.72	     -1.48	
      5.81	     -0.46	     -0.49	      0.72	     -1.47	
      5.82	     -0.45	     -0.49	      0.71	     -1.46	
      5.83	     -0.44	     -0.49	      0.71	     -1.45	
      5.84	     -0.43	     -0.49	      0.70	     -1.44	
      5.85	     -0.42	     -0.49	      0.70	     -1.43	
      5.86	     -0.41	     -0.49	      0.69	     -1.42	
      5.87	     -0.40	     -0.49	      0.69	     -1.41	
      5.88	     -0.39	     -0.49	      0.69	     -1.40	
      5.89	     -0.38	     -0.49	      0.68	     -1.39	
      5.90	     -0.37	     -0.49	      0.68	     -1.38	
      5.91	     -0.36	     -0.49	      0.67	     -1.37	
      5.92	     -0.36	     -0.49	      0.67	     -1.36	
      5.93	     -0.35	     -0.49	      0.66	     -1.35	
      5.94	     -0.34	     -0.49	      0.66	     -1.34	
      5.95	     -0.33	     -0.49	      0.65	     -1.33	
      5.96	     -0.32	     -0.49	      0.65	     -1.32	
      5.97	     -0.31	     -0.49	      0.65	     -1.31	
      5.98	     -0.30	     -0.49	      0.64	     -1.30	
      5.99	     -0.29	     -0.49	      0.64	     -1.29	
      6.00	     -0.28	     -0.50	      0.63	     -1.27	
      6.01	     -0.27	     -0.50	      0.63	     -1.26	
      6.02	     -0.26	     -0.50	      0.62	     -1.25	
      6.03	     -0.25	     -0.50	      0.62	     -1.24	
      6.04	     -0.24	     -0.50	      0.61	     -1.23	
      6.05	     -0.23	     -0.50	      0.61	     -1.22	
      6.06	     -0.22	     -0.50	      0.60	     -1.21	
      6.07	     -0.21	     -0.50	      0.60	     -1.20	
      6.08	     -0.20	     -0.50	      0.59	     -1.19	
      6.09	     -0.19	     -0.50	      0.59	     -1.18	
      6.10	     -0.18	     -0.50	      0.58	     -1.17	
      6.11	     -0.17	     -0.50	      0.58	     -1.16	
      6.12	     -0.16	     -0.50	      0.57	     -1.15	
      6.13	     -0.15	     -0.50	      0.57	     -1.14	
      6.14	     -0.14	     -0.50	      0.57	     -1.13	
      6.15	     -0.13	     -0.50	      0.56	     -1.12	
      6.16	     -0.12	     -0.50	      0.56	     -1.11	
      6.17	     -0.11	     -0.50	      0.55	     -1.10	
      6.18	     -0.10	     -0.50	      0.55	     -1.09	
      6.19	     -0.09	     -0.50	      0.54	     -1.08	
      6.20	     -0.08	     -0.50	      0.54	     -1.07	
      6.21	     -0.07	     -0.50	      0.53	     -1.06	
      6.22	     -0.06	     -0.50	      0.53	     -1.05	
      6.23	     -0.05	     -0.50	      0.52	     -1.04	
      6.24	     -0.04	     -0.50	      0.52	     -1.03	
      6.25	     -0.03	     -0.50	      0.51	     -1.02	
      6.26	     -0.02	     -0.50	      0.51	     -1.01	
      6.27	     -0.01	     -0.50	      0.50	     -1.00	
      6.28	     -0.00	     -0.50	      0.50	     -0.99	
